bowler,total_batter_runs_conceded_mean,total_runs_from_relevant_extras_mean,total_total_runs_conceded_mean,total_taken_from_relevant_wickets_mean,powerplay_batter_runs_conceded_mean,powerplay_runs_from_relevant_extras_mean,powerplay_total_runs_conceded_mean,powerplay_taken_from_relevant_wickets_mean,non_powerplay_batter_runs_conceded_mean,non_powerplay_runs_from_relevant_extras_mean,non_powerplay_total_runs_conceded_mean,non_powerplay_taken_from_relevant_wickets_mean
00029c30,1.0909090909090908,0.06060606060606061,1.1515151515151516,0.045454545454545456,,,,,1.0909090909090908,0.06060606060606061,1.1515151515151516,0.045454545454545456
00321fff,1.0672097759674135,0.03665987780040733,1.1079429735234216,0.05295315682281059,,,,,1.0672097759674135,0.03665987780040733,1.1079429735234216,0.05295315682281059
00467a76,1.2367424242424243,0.06818181818181818,1.3484848484848484,0.06628787878787878,1.3310344827586207,0.04827586206896552,1.4275862068965517,0.05517241379310345,1.2010443864229765,0.07571801566579635,1.318537859007833,0.07049608355091384
005f0561,0.8647342995169082,0.021739130434782608,0.8985507246376812,0.057971014492753624,0.757396449704142,0.01775147928994083,0.7751479289940828,0.04142011834319527,0.9387755102040817,0.024489795918367346,0.9836734693877551,0.06938775510204082
007113d7,1.0085836909871244,0.02575107296137339,1.0686695278969958,0.0815450643776824,,,,,1.0085836909871244,0.02575107296137339,1.0686695278969958,0.0815450643776824
00823a96,0.8275862068965517,0.017241379310344827,0.8448275862068966,0.06896551724137931,,,,,0.8275862068965517,0.017241379310344827,0.8448275862068966,0.06896551724137931
008589a4,1.5483870967741935,0.03225806451612903,1.5806451612903225,0.12903225806451613,,,,,1.5483870967741935,0.03225806451612903,1.5806451612903225,0.12903225806451613
00863408,1.1176470588235294,0.03529411764705882,1.1529411764705881,0.07058823529411765,,,,,1.1176470588235294,0.03529411764705882,1.1529411764705881,0.07058823529411765
008a024c,1.0993485342019544,0.030944625407166124,1.1335504885993486,0.05211726384364821,1.021798365122616,0.027247956403269755,1.0544959128065394,0.04632152588555858,1.214574898785425,0.03643724696356275,1.2510121457489878,0.06072874493927125
0095a0e3,1.1612903225806452,0.043010752688172046,1.2688172043010753,0.043010752688172046,1.1805555555555556,0.027777777777777776,1.2777777777777777,0.041666666666666664,1.0952380952380953,0.09523809523809523,1.2380952380952381,0.047619047619047616
00be46fe,0.6,0.275,0.9,0.025,0.3333333333333333,0.0,0.5,0.16666666666666666,0.6470588235294118,0.3235294117647059,0.9705882352941176,0.0
00c98c78,0.8888888888888888,0.06349206349206349,0.9523809523809523,0.047619047619047616,,,,,0.8888888888888888,0.06349206349206349,0.9523809523809523,0.047619047619047616
00d1544c,0.16346153846153846,0.25,0.41346153846153844,0.07692307692307693,,,,,0.16346153846153846,0.25,0.41346153846153844,0.07692307692307693
00d69fa4,0.9550561797752809,0.06741573033707865,1.0337078651685394,0.11235955056179775,1.4444444444444444,0.05555555555555555,1.5,0.0,0.8309859154929577,0.07042253521126761,0.9154929577464789,0.14084507042253522
00eefafc,0.8120300751879699,0.007518796992481203,0.849624060150376,0.06015037593984962,0.8888888888888888,0.0,1.1111111111111112,0.05555555555555555,0.8,0.008695652173913044,0.808695652173913,0.06086956521739131
01127aa9,0.9487179487179487,0.07692307692307693,1.1282051282051282,0.05128205128205128,,,,,0.9487179487179487,0.07692307692307693,1.1282051282051282,0.05128205128205128
011f6b42,0.9523809523809523,0.0,0.9761904761904762,0.0,0.5,0.0,0.5,0.0,1.0277777777777777,0.0,1.0555555555555556,0.0
012829ff,1.2552083333333333,0.03125,1.328125,0.036458333333333336,1.1111111111111112,0.0,1.125,0.027777777777777776,1.3416666666666666,0.05,1.45,0.041666666666666664
012bd3f6,1.1018518518518519,0.19444444444444445,1.3333333333333333,0.037037037037037035,1.0615384615384615,0.24615384615384617,1.353846153846154,0.046153846153846156,1.1627906976744187,0.11627906976744186,1.302325581395349,0.023255813953488372
01341439,1.5,0.0,1.5,0.0,,,,,1.5,0.0,1.5,0.0
01396dc6,1.297872340425532,0.10638297872340426,1.425531914893617,0.0425531914893617,0.6666666666666666,0.0,0.6666666666666666,0.16666666666666666,1.3902439024390243,0.12195121951219512,1.5365853658536586,0.024390243902439025
01404b98,0.5517241379310345,0.1724137931034483,0.7241379310344828,0.06896551724137931,,,,,0.5517241379310345,0.1724137931034483,0.7241379310344828,0.06896551724137931
01549705,1.0,0.2608695652173913,1.2608695652173914,0.08695652173913043,,,,,1.0,0.2608695652173913,1.2608695652173914,0.08695652173913043
0159383b,0.7894736842105263,0.15789473684210525,0.9473684210526315,0.03508771929824561,,,,,0.7894736842105263,0.15789473684210525,0.9473684210526315,0.03508771929824561
015dc0cd,0.75,0.1,0.875,0.025,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.7352941176470589,0.11764705882352941,0.8823529411764706,0.0
01679383,0.7714285714285715,0.13877551020408163,0.9346938775510204,0.044897959183673466,0.8294573643410853,0.18604651162790697,1.0387596899224807,0.046511627906976744,0.7068965517241379,0.08620689655172414,0.8189655172413793,0.04310344827586207
016f6267,0.4358974358974359,0.10256410256410256,0.5641025641025641,0.07692307692307693,0.43137254901960786,0.1568627450980392,0.6078431372549019,0.0784313725490196,0.4444444444444444,0.0,0.48148148148148145,0.07407407407407407
017cadb2,0.8230088495575221,0.084070796460177,0.9314159292035398,0.03761061946902655,0.45098039215686275,0.13725490196078433,0.5882352941176471,0.0196078431372549,0.8703241895261845,0.0773067331670823,0.9750623441396509,0.0399002493765586
017faef2,0.9075144508670521,0.03468208092485549,0.9653179190751445,0.046242774566473986,0.7962962962962963,0.046296296296296294,0.8796296296296297,0.037037037037037035,1.0923076923076922,0.015384615384615385,1.1076923076923078,0.06153846153846154
01815edc,0.5111111111111111,0.06666666666666667,0.5777777777777777,0.037037037037037035,0.5185185185185185,0.05555555555555555,0.5740740740740741,0.037037037037037035,0.5061728395061729,0.07407407407407407,0.5802469135802469,0.037037037037037035
018f6488,1.341317365269461,0.10179640718562874,1.4550898203592815,0.029940119760479042,1.186046511627907,0.12790697674418605,1.3255813953488371,0.011627906976744186,1.5061728395061729,0.07407407407407407,1.5925925925925926,0.04938271604938271
01ac7f7c,0.15853658536585366,0.06097560975609756,0.24390243902439024,0.04878048780487805,0.14814814814814814,0.05555555555555555,0.24074074074074073,0.05555555555555555,0.17857142857142858,0.07142857142857142,0.25,0.03571428571428571
01b45044,1.5,0.0,1.5,0.08333333333333333,,,,,1.5,0.0,1.5,0.08333333333333333
01c05b6c,1.6313131313131313,0.12121212121212122,1.8232323232323233,0.025252525252525252,1.9310344827586208,0.20689655172413793,2.1379310344827585,0.034482758620689655,1.5798816568047338,0.10650887573964497,1.7692307692307692,0.023668639053254437
01c1b96c,0.65587734241908,0.03236797274275979,0.6984667802385008,0.06047700170357751,0.5806451612903226,0.034408602150537634,0.621505376344086,0.03655913978494624,0.7052186177715092,0.031029619181946404,0.7489421720733427,0.076163610719323
02264be0,0.9240506329113924,0.21518987341772153,1.139240506329114,0.012658227848101266,1.4285714285714286,0.42857142857142855,1.8571428571428572,0.14285714285714285,0.875,0.19444444444444445,1.0694444444444444,0.0
0226b73a,1.2847682119205297,0.046357615894039736,1.3576158940397351,0.033112582781456956,,,,,1.2847682119205297,0.046357615894039736,1.3576158940397351,0.033112582781456956
022745d5,0.8076009501187649,0.11163895486935867,0.9358669833729216,0.06413301662707839,0.6730769230769231,0.23076923076923078,0.9038461538461539,0.057692307692307696,0.8265582655826558,0.0948509485094851,0.940379403794038,0.06504065040650407
023c40b8,2.16,0.04,2.2,0.04,,,,,2.16,0.04,2.2,0.04
023f6b02,1.0310077519379846,0.028423772609819122,1.082687338501292,0.059431524547803614,1.182608695652174,0.017391304347826087,1.2260869565217392,0.06086956521739131,0.9669117647058824,0.03308823529411765,1.0220588235294117,0.058823529411764705
024a173d,2.111111111111111,0.0,2.138888888888889,0.0,1.6666666666666667,0.0,1.7083333333333333,0.0,3.0,0.0,3.0,0.0
026b815f,0.6888888888888889,0.1111111111111111,0.8,0.044444444444444446,0.75,0.0,0.75,0.0,0.6794871794871795,0.1282051282051282,0.8076923076923077,0.05128205128205128
026e1314,1.385321100917431,0.06422018348623854,1.4770642201834863,0.06422018348623854,1.2222222222222223,0.1111111111111111,1.3333333333333333,0.0,1.4175824175824177,0.054945054945054944,1.5054945054945055,0.07692307692307693
027662be,1.0880829015544042,0.04145077720207254,1.1398963730569949,0.07772020725388601,1.0333333333333334,0.0,1.0333333333333334,0.1,1.098159509202454,0.049079754601226995,1.1595092024539877,0.0736196319018405
0286eabe,0.6695652173913044,0.05217391304347826,0.7260869565217392,0.0391304347826087,0.84,0.08,0.92,0.08,0.6487804878048781,0.04878048780487805,0.7024390243902439,0.03414634146341464
02888f23,1.2,0.04,1.24,0.0,,,,,1.2,0.04,1.24,0.0
02b078b1,1.204035874439462,0.033632286995515695,1.2600896860986548,0.053811659192825115,1.1521739130434783,0.021739130434782608,1.173913043478261,0.07608695652173914,1.2175141242937852,0.03672316384180791,1.2824858757062148,0.0480225988700565
02b87bde,0.8529411764705882,0.11764705882352941,0.9705882352941176,0.11764705882352941,0.9166666666666666,0.16666666666666666,1.0833333333333333,0.08333333333333333,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.13636363636363635
02c8fbfc,0.5094339622641509,0.1509433962264151,0.6792452830188679,0.02830188679245283,0.46153846153846156,0.16666666666666666,0.6538461538461539,0.038461538461538464,0.6428571428571429,0.10714285714285714,0.75,0.0
02d11602,1.4166666666666667,0.0,1.4166666666666667,0.0,,,,,1.4166666666666667,0.0,1.4166666666666667,0.0
02e83ac5,1.3043478260869565,0.021739130434782608,1.3369565217391304,0.03260869565217391,2.0,0.0,2.0,0.0,1.255813953488372,0.023255813953488372,1.2906976744186047,0.03488372093023256
030a38e0,0.9416666666666667,0.23333333333333334,1.25,0.041666666666666664,1.5714285714285714,0.14285714285714285,1.7142857142857142,0.14285714285714285,0.9026548672566371,0.23893805309734514,1.2212389380530972,0.035398230088495575
032c7eab,1.4264705882352942,0.1323529411764706,1.6323529411764706,0.04411764705882353,,,,,1.4264705882352942,0.1323529411764706,1.6323529411764706,0.04411764705882353
0331c99a,1.2307692307692308,0.0641025641025641,1.294871794871795,0.07692307692307693,0.9333333333333333,0.2,1.1333333333333333,0.06666666666666667,1.3015873015873016,0.031746031746031744,1.3333333333333333,0.07936507936507936
033e9d59,1.3802083333333333,0.0,1.3854166666666667,0.026041666666666668,,,,,1.3802083333333333,0.0,1.3854166666666667,0.026041666666666668
034d3c52,0.831081081081081,0.12162162162162163,0.9797297297297297,0.05405405405405406,,,,,0.831081081081081,0.12162162162162163,0.9797297297297297,0.05405405405405406
036dcf9b,0.9625,0.05,1.025,0.0625,,,,,0.9625,0.05,1.025,0.0625
0371cc19,1.0476190476190477,0.14285714285714285,1.1904761904761905,0.047619047619047616,,,,,1.0476190476190477,0.14285714285714285,1.1904761904761905,0.047619047619047616
037f2b86,0.8014336917562724,0.02939068100358423,0.8444444444444444,0.045878136200716846,0.6988795518207283,0.02100840336134454,0.7254901960784313,0.03361344537815126,0.908957415565345,0.0381791483113069,0.9691629955947136,0.05873715124816446
